City,Country,Latitude,Longitude,Date,Temperature,Maximum Tempurature,Humidity,Cloudiness,Wind Speed
rheinau,DE,48.87,8.2,1585542788.0,33.656000000000006,35.99599999999998,59.0,90.0,13.92
kavieng,PG,-2.57,150.8,1585542788.0,82.00399999999996,82.00399999999996,76.0,96.0,2.9120000000000004
bengkulu,ID,-3.8,102.27,1585542789.0,83.57,83.57,72.0,100.0,7.392
saint anthony,US,45.02,-93.22,1585542790.0,41.37800000000004,44.99599999999998,45.0,1.0,5.760000000000001
west bay,KY,19.37,-81.42,1585542790.0,78.7100000000001,78.99799999999999,94.0,20.0,5.760000000000001
peniche,PT,39.36,-9.38,1585542791.0,51.63799999999998,55.00399999999996,87.0,20.0,2.16
rikitea,PF,-23.12,-134.97,1585542791.0,78.74600000000004,78.74600000000004,83.0,0.0,8.496
busselton,AU,-33.65,115.33,1585542792.0,64.99400000000009,64.99400000000009,63.0,81.0,2.8640000000000003
ushtobe,KZ,45.25,77.98,1585542792.0,49.74799999999999,49.74799999999999,36.0,0.0,9.824
vaini,TO,-21.2,-175.2,1585542792.0,80.34800000000001,80.34800000000001,82.0,85.0,11.344000000000001
nome,US,64.5,-165.41,1585542793.0,12.523999999999944,12.523999999999944,75.0,0.0,3.04
lebu,CL,-37.62,-73.65,1585542793.0,52.43000000000001,52.43000000000001,73.0,11.0,10.912
provideniya,RU,64.38,-173.3,1585542794.0,15.799999999999955,15.799999999999955,72.0,75.0,4.800000000000001
east london,ZA,-33.02,27.91,1585542701.0,69.04400000000004,69.04400000000004,80.0,40.0,2.8160000000000003
nichinan,JP,31.6,131.37,1585542794.0,54.73399999999998,55.39999999999992,93.0,75.0,7.359999999999999
miri,MY,4.41,114.01,1585542795.0,89.31200000000007,89.59999999999997,75.0,75.0,4.16
tekkali,IN,18.62,84.23,1585542795.0,95.21599999999995,95.21599999999995,39.0,0.0,4.048
jinxiang,CN,22.86,115.7,1585542796.0,66.00200000000001,66.00200000000001,92.0,98.0,0.7200000000000001
namibe,AO,-15.2,12.15,1585542796.0,71.906,71.906,75.0,21.0,3.2960000000000003
avarua,CK,-21.21,-159.78,1585542796.0,82.39999999999992,82.39999999999992,74.0,20.0,6.56
beira,MZ,-19.84,34.84,1585542797.0,71.59999999999997,71.59999999999997,94.0,40.0,3.3600000000000003
odweyne,SO,9.41,45.06,1585542797.0,77.594,77.594,45.0,0.0,6.992000000000001
mar del plata,AR,-38.0,-57.56,1585542706.0,64.39999999999992,64.99400000000009,82.0,75.0,7.359999999999999
fortuna,US,40.6,-124.16,1585542688.0,50.95400000000001,51.99799999999999,76.0,75.0,4.960000000000001
sinnamary,GF,5.38,-52.95,1585542798.0,78.88999999999993,78.88999999999993,84.0,100.0,8.512
khandbari,NP,27.37,87.2,1585542798.0,83.714,83.714,14.0,0.0,4.16
georgetown,MY,5.41,100.34,1585542799.0,90.15799999999996,91.39999999999992,70.0,20.0,4.16
hualmay,PE,-11.1,-77.61,1585542799.0,72.08600000000007,72.08600000000007,78.0,100.0,2.9280000000000004
chokurdakh,RU,70.63,147.92,1585542800.0,6.8180000000000405,6.8180000000000405,94.0,100.0,8.384
airai,TL,-8.93,125.41,1585542800.0,72.80599999999998,72.80599999999998,48.0,76.0,3.184
bettiah,IN,26.8,84.5,1585542801.0,93.29000000000002,93.29000000000002,12.0,0.0,11.280000000000001
khatanga,RU,71.97,102.5,1585542801.0,9.01400000000001,9.01400000000001,94.0,95.0,3.84
dorado,PR,18.46,-66.27,1585542801.0,72.96800000000002,76.99999999999994,73.0,40.0,6.56
tuktoyaktuk,CA,69.45,-133.04,1585542802.0,-20.19999999999999,-20.19999999999999,75.0,20.0,4.960000000000001
bluff,NZ,-46.6,168.33,1585542802.0,67.99999999999994,67.99999999999994,66.0,10.0,3.5840000000000005
barrow,US,71.29,-156.79,1585542803.0,-5.800000000000011,-5.800000000000011,76.0,1.0,6.56
atuona,PF,-9.8,-139.03,1585542803.0,83.03000000000003,83.03000000000003,77.0,39.0,13.296000000000001
ushuaia,AR,-54.8,-68.3,1585542803.0,48.19999999999993,48.19999999999993,70.0,75.0,3.8560000000000003
dikson,RU,73.51,80.55,1585542804.0,-3.118000000000052,-3.118000000000052,91.0,51.0,6.976000000000001
saint-philippe,RE,-21.36,55.77,1585542804.0,78.40400000000005,82.39999999999992,69.0,20.0,2.4000000000000004
nikolskoye,RU,59.7,30.79,1585542804.0,21.02000000000004,24.99799999999999,78.0,0.0,3.2
kodiak,US,57.79,-152.41,1585542805.0,30.199999999999932,30.199999999999932,54.0,90.0,8.16
albany,US,42.6,-73.97,1585542805.0,42.06200000000001,46.00400000000002,100.0,90.0,2.4000000000000004
coquimbo,CL,-29.95,-71.34,1585542806.0,60.80000000000001,60.80000000000001,82.0,82.0,0.8
hithadhoo,MV,-0.6,73.08,1585542777.0,83.89400000000006,83.89400000000006,62.0,65.0,6.5120000000000005
